id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,warehouse_location,shelf_location,region_almacen,stock_status,is_active,last_updated_at,created_by_id,record_sequence_number,categoria_producto,subcategoria_producto,anio,mes,vacaciones_o_no,es_feriado,temporada_alta
1,2024-01-01,101,Chips Sabor Queso,CHQ-101,201,Proveedor A,1,500,50,450,100,120,600,150,30,2023-12-20,2023-12-31,0.50,250.00,2025-12-31,BATCH-A1,Almacén Central,Pasillo 1,Sur,activo,1,2024-01-01,501,Snacks,Chips,2024,1,False,True,False
2,2024-01-01,102,Galletas Dulces Familia,GLD-102,202,Proveedor B,2,800,100,700,150,180,1000,200,45,2023-12-18,2023-12-31,0.40,320.00,2025-11-30,BATCH-B1,Almacén Central,Pasillo 2,Sur,activo,1,2024-01-01,502,Snacks,Galletas,2024,1,False,True,False
3,2024-01-01,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,400,30,370,80,100,500,120,20,2023-12-22,2023-12-31,0.70,280.00,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-01,503,Snacks,Barras de Cereal,2024,1,False,True,False
4,2024-01-01,104,Palomitas Caramelo,PLC-104,204,Proveedor D,2,600,60,540,120,140,700,170,35,2023-12-19,2023-12-31,0.55,330.00,2025-09-30,BATCH-D1,Almacén Central,Pasillo 4,Sur,activo,1,2024-01-01,504,Snacks,Palomitas,2024,1,False,True,False
5,2024-01-01,105,Chips Sabor Barbacoa,CHB-105,201,Proveedor A,1,900,90,810,200,240,1100,250,60,2023-12-15,2023-12-31,0.50,450.00,2025-12-15,BATCH-A2,Almacén Central,Pasillo 5,Sur,activo,1,2024-01-01,505,Snacks,Chips,2024,1,False,True,False
6,2024-01-01,106,Galletas Saladas Light,GLS-106,202,Proveedor B,2,550,40,510,130,160,650,180,25,2023-12-20,2023-12-31,0.45,247.50,2025-11-20,BATCH-B2,Almacén Central,Pasillo 6,Sur,activo,1,2024-01-01,506,Snacks,Galletas,2024,1,False,True,False
7,2024-01-01,107,Barra Proteica Frutos,CPF-107,205,Proveedor E,1,450,20,430,90,110,550,140,15,2023-12-25,2023-12-31,1.00,450.00,2025-08-30,BATCH-E1,Almacén Central,Pasillo 7,Sur,activo,1,2024-01-01,507,Snacks,Barras de Cereal,2024,1,False,True,False
8,2024-01-01,108,Palomitas Sal y Vinagre,PLV-108,204,Proveedor D,2,700,70,630,150,180,800,200,40,2023-12-18,2023-12-31,0.60,420.00,2025-09-15,BATCH-D2,Almacén Central,Pasillo 8,Sur,activo,1,2024-01-01,508,Snacks,Palomitas,2024,1,False,True,False
9,2024-01-01,109,Chips Mini Sal y Lima,CHL-109,201,Proveedor A,1,300,30,270,80,100,450,110,12,2023-12-28,2023-12-31,0.50,150.00,2025-12-01,BATCH-A3,Almacén Central,Pasillo 9,Sur,activo,1,2024-01-01,509,Snacks,Chips,2024,1,False,True,False
10,2024-01-01,110,Galletas Chocolate Chip,GCC-110,202,Proveedor B,2,650,65,585,160,200,900,220,50,2023-12-17,2023-12-31,0.55,357.50,2025-11-10,BATCH-B3,Almacén Central,Pasillo 10,Sur,activo,1,2024-01-01,510,Snacks,Galletas,2024,1,False,True,False
11,2024-01-01,111,Barra Granola Miel,BGM-111,203,Proveedor C,3,500,35,465,110,130,600,150,18,2023-12-22,2023-12-31,0.80,400.00,2025-10-20,BATCH-C2,Almacén Central,Pasillo 11,Sur,activo,1,2024-01-01,511,Snacks,Barras de Cereal,2024,1,False,True,False
12,2024-01-01,112,Palomitas Queso,PLQ-112,204,Proveedor D,2,800,80,720,170,200,950,230,55,2023-12-19,2023-12-31,0.65,520.00,2025-09-05,BATCH-D3,Almacén Central,Pasillo 12,Sur,activo,1,2024-01-01,512,Snacks,Palomitas,2024,1,False,True,False
13,2024-01-01,113,Chips Verde Lima,CHV-113,201,Proveedor A,1,350,25,325,90,110,500,120,14,2023-12-27,2023-12-31,0.50,175.00,2025-12-20,BATCH-A4,Almacén Central,Pasillo 13,Sur,activo,1,2024,1,513,Snacks,Chips,2024,1,False,True,False
14,2024-01-01,114,Galletas Integral Avena,GIA-114,202,Proveedor B,2,420,45,375,120,150,550,160,22,2023-12-21,2023-12-31,0.48,201.60,2025-11-25,BATCH-B4,Almacén Central,Pasillo 14,Sur,activo,1,2024-01-01,514,Snacks,Galletas,2024,1,False,True,False
15,2024-01-01,115,Barra Chocolate Avellana,BCA-115,203,Proveedor C,3,300,20,280,70,90,400,130,10,2023-12-28,2023-12-31,0.90,270.00,2025-10-10,BATCH-C3,Almacén Central,Pasillo 15,Sur,activo,1,2024-01-01,515,Snacks,Barras de Cereal,2024,1,False,True,False
